msgid,groupid,arrival
113352516,126734,2026-06-22 14:29:51.000000
113352516,253433,2026-06-22 14:29:51.000000
113352516,253463,2026-06-22 14:29:51.000000
113352516,253508,2026-06-22 14:29:51.000000
113352516,507537,2026-06-22 14:29:51.000000
113352516,507940,2026-06-22 14:29:51.000000
113352516,515323,2026-06-22 14:29:51.000000
113352516,515432,2026-06-22 14:29:51.000000
113352516,522830,2026-06-22 14:29:51.000000
113499390,21256,2026-06-22 14:29:56.000000
113499390,21317,2026-06-22 14:29:56.000000
113499390,21469,2026-06-22 14:29:56.000000
113499390,21671,2026-06-22 14:29:56.000000
113499390,21694,2026-06-22 14:29:56.000000
113499390,451496,2026-06-22 14:29:56.000000
113530413,21268,2026-06-22 14:30:15.000000
113530413,21441,2026-06-22 14:30:15.000000
113530413,21460,2026-06-22 14:30:15.000000
113530413,21463,2026-06-22 14:30:15.000000
113530413,21505,2026-06-22 14:30:15.000000
113530413,21582,2026-06-22 14:30:15.000000
113530413,126656,2026-06-22 14:30:15.000000
113530413,126680,2026-06-22 14:30:15.000000
113530413,126695,2026-06-22 14:30:15.000000
113530413,126722,2026-06-22 14:30:15.000000
113530413,398418,2026-06-22 14:30:15.000000
113530413,522708,2026-06-22 14:30:15.000000
113714442,21232,2026-06-22 14:30:29.000000
113714442,21273,2026-06-22 14:30:29.000000
113714442,21579,2026-06-22 14:30:29.000000
113714442,21616,2026-06-22 14:30:29.000000
113714442,21691,2026-06-22 14:30:29.000000
113714442,21696,2026-06-22 14:30:29.000000
113714442,21698,2026-06-22 14:30:29.000000
113714442,126767,2026-06-22 14:30:29.000000
113714442,253487,2026-06-22 14:30:29.000000
113714442,395335,2026-06-22 14:30:29.000000
113714442,522664,2026-06-22 14:30:29.000000
113714442,522839,2026-06-22 14:30:29.000000
114086850,21349,2026-06-22 14:30:59.000000
114086850,21592,2026-06-22 14:30:59.000000
114086850,515356,2026-06-22 14:30:59.000000
114341142,21277,2026-06-22 14:31:13.000000
114341142,21350,2026-06-22 14:31:13.000000
114341142,21449,2026-06-22 14:31:13.000000
114341142,21450,2026-06-22 14:31:13.000000
114341142,21454,2026-06-22 14:31:13.000000
114341142,21456,2026-06-22 14:31:13.000000
114341142,21470,2026-06-22 14:31:13.000000
114341142,21486,2026-06-22 14:31:13.000000
114341142,21492,2026-06-22 14:31:13.000000
114341142,21632,2026-06-22 14:31:13.000000
114341142,21662,2026-06-22 14:31:13.000000
114341142,21676,2026-06-22 14:31:13.000000
114341142,21682,2026-06-22 14:31:13.000000
114341142,45523,2026-06-22 14:31:13.000000
114341142,126719,2026-06-22 14:31:13.000000
114341142,126734,2026-06-22 14:31:13.000000
114341142,217446,2026-06-22 14:31:13.000000
114341142,253433,2026-06-22 14:31:13.000000
114341142,253463,2026-06-22 14:31:13.000000
114341142,253502,2026-06-22 14:31:13.000000
114341142,253505,2026-06-22 14:31:13.000000
114341142,253508,2026-06-22 14:31:13.000000
114341142,386072,2026-06-22 14:31:13.000000
114341142,395398,2026-06-22 14:31:13.000000
114341142,407623,2026-06-22 14:31:13.000000
114341142,435173,2026-06-22 14:31:13.000000
114341142,507940,2026-06-22 14:31:13.000000
114341142,515432,2026-06-22 14:31:13.000000
114421185,21277,2026-06-22 14:31:25.000000
114421185,21350,2026-06-22 14:31:25.000000
114421185,21449,2026-06-22 14:31:25.000000
114421185,21450,2026-06-22 14:31:25.000000
114421185,21454,2026-06-22 14:31:25.000000
114421185,21456,2026-06-22 14:31:25.000000
114421185,21470,2026-06-22 14:31:25.000000
114421185,21486,2026-06-22 14:31:25.000000
114421185,21492,2026-06-22 14:31:25.000000
114421185,21632,2026-06-22 14:31:25.000000
114421185,21662,2026-06-22 14:31:25.000000
114421185,21676,2026-06-22 14:31:25.000000
114421185,21682,2026-06-22 14:31:25.000000
114421185,45523,2026-06-22 14:31:25.000000
114421185,126719,2026-06-22 14:31:25.000000
114421185,126734,2026-06-22 14:31:25.000000
114421185,217446,2026-06-22 14:31:25.000000
114421185,253433,2026-06-22 14:31:25.000000
114421185,253463,2026-06-22 14:31:25.000000
114421185,253502,2026-06-22 14:31:25.000000
114421185,253505,2026-06-22 14:31:25.000000
114421185,253508,2026-06-22 14:31:25.000000
114421185,386072,2026-06-22 14:31:25.000000
114421185,395398,2026-06-22 14:31:25.000000
114421185,407623,2026-06-22 14:31:25.000000
114421185,435173,2026-06-22 14:31:25.000000
114421185,507940,2026-06-22 14:31:25.000000
114421185,515432,2026-06-22 14:31:25.000000
114487782,21277,2026-06-22 14:31:34.000000
114487782,21350,2026-06-22 14:31:34.000000
114487782,21449,2026-06-22 14:31:34.000000
114487782,21450,2026-06-22 14:31:34.000000
114487782,21454,2026-06-22 14:31:34.000000
114487782,21456,2026-06-22 14:31:34.000000
114487782,21470,2026-06-22 14:31:34.000000
114487782,21486,2026-06-22 14:31:34.000000
114487782,21492,2026-06-22 14:31:34.000000
114487782,21632,2026-06-22 14:31:34.000000
114487782,21662,2026-06-22 14:31:34.000000
114487782,21676,2026-06-22 14:31:34.000000
114487782,21682,2026-06-22 14:31:34.000000
114487782,45523,2026-06-22 14:31:34.000000
114487782,126719,2026-06-22 14:31:34.000000
114487782,126734,2026-06-22 14:31:34.000000
114487782,217446,2026-06-22 14:31:34.000000
114487782,253433,2026-06-22 14:31:34.000000
114487782,253463,2026-06-22 14:31:34.000000
114487782,253502,2026-06-22 14:31:34.000000
114487782,253505,2026-06-22 14:31:34.000000
114487782,253508,2026-06-22 14:31:34.000000
114487782,386072,2026-06-22 14:31:34.000000
114487782,395398,2026-06-22 14:31:34.000000
114487782,407623,2026-06-22 14:31:34.000000
114487782,435173,2026-06-22 14:31:34.000000
114487782,507940,2026-06-22 14:31:34.000000
114487782,515432,2026-06-22 14:31:34.000000
114623874,21235,2026-06-22 14:31:40.000000
114623874,21317,2026-06-22 14:31:40.000000
114623874,21469,2026-06-22 14:31:40.000000
114623874,21555,2026-06-22 14:31:40.000000
114623874,21671,2026-06-22 14:31:40.000000
114623874,21694,2026-06-22 14:31:40.000000
114623874,451496,2026-06-22 14:31:40.000000
114623874,522783,2026-06-22 14:31:40.000000
115132675,21277,2026-06-22 14:31:46.000000
115132675,21350,2026-06-22 14:31:46.000000
115132675,21449,2026-06-22 14:31:46.000000
115132675,21450,2026-06-22 14:31:46.000000
115132675,21454,2026-06-22 14:31:46.000000
115132675,21456,2026-06-22 14:31:46.000000
115132675,21470,2026-06-22 14:31:46.000000
115132675,21486,2026-06-22 14:31:46.000000
115132675,21492,2026-06-22 14:31:46.000000
115132675,21632,2026-06-22 14:31:46.000000
115132675,21662,2026-06-22 14:31:46.000000
115132675,21676,2026-06-22 14:31:46.000000
115132675,21682,2026-06-22 14:31:46.000000
115132675,45523,2026-06-22 14:31:46.000000
115132675,126719,2026-06-22 14:31:46.000000
115132675,126734,2026-06-22 14:31:46.000000
115132675,217446,2026-06-22 14:31:46.000000
115132675,253433,2026-06-22 14:31:46.000000
115132675,253463,2026-06-22 14:31:46.000000
115132675,253502,2026-06-22 14:31:46.000000
115132675,253505,2026-06-22 14:31:46.000000
115132675,253508,2026-06-22 14:31:46.000000
115132675,386072,2026-06-22 14:31:46.000000
115132675,395398,2026-06-22 14:31:46.000000
115132675,407623,2026-06-22 14:31:46.000000
115132675,435173,2026-06-22 14:31:46.000000
115132675,507940,2026-06-22 14:31:46.000000
115132675,515432,2026-06-22 14:31:46.000000
115132747,21350,2026-06-22 14:31:55.000000
115132747,21449,2026-06-22 14:31:55.000000
115132747,21450,2026-06-22 14:31:55.000000
115132747,21454,2026-06-22 14:31:55.000000
115132747,21456,2026-06-22 14:31:55.000000
115132747,21470,2026-06-22 14:31:55.000000
115132747,21486,2026-06-22 14:31:55.000000
115132747,21492,2026-06-22 14:31:55.000000
115132747,21632,2026-06-22 14:31:55.000000
115132747,21662,2026-06-22 14:31:55.000000
115132747,21676,2026-06-22 14:31:55.000000
115132747,21682,2026-06-22 14:31:55.000000
115132747,45523,2026-06-22 14:31:55.000000
115132747,126719,2026-06-22 14:31:55.000000
115132747,126734,2026-06-22 14:31:55.000000
115132747,217446,2026-06-22 14:31:55.000000
115132747,253433,2026-06-22 14:31:55.000000
115132747,253463,2026-06-22 14:31:55.000000
115132747,253502,2026-06-22 14:31:55.000000
115132747,253505,2026-06-22 14:31:55.000000
115132747,253508,2026-06-22 14:31:55.000000
115132747,386072,2026-06-22 14:31:55.000000
115132747,395398,2026-06-22 14:31:55.000000
115132747,407623,2026-06-22 14:31:55.000000
115132747,435173,2026-06-22 14:31:55.000000
115132747,507940,2026-06-22 14:31:55.000000
115132747,515432,2026-06-22 14:31:55.000000
115259752,21277,2026-06-22 14:32:07.000000
115259752,21350,2026-06-22 14:32:07.000000
115259752,21449,2026-06-22 14:32:07.000000
115259752,21450,2026-06-22 14:32:07.000000
115259752,21454,2026-06-22 14:32:07.000000
115259752,21456,2026-06-22 14:32:07.000000
115259752,21470,2026-06-22 14:32:07.000000
115259752,21486,2026-06-22 14:32:07.000000
115259752,21492,2026-06-22 14:32:07.000000
115259752,21632,2026-06-22 14:32:07.000000
115259752,21662,2026-06-22 14:32:07.000000
115259752,21676,2026-06-22 14:32:07.000000
115259752,21682,2026-06-22 14:32:07.000000
115259752,45523,2026-06-22 14:32:07.000000
115259752,126719,2026-06-22 14:32:07.000000
115259752,126734,2026-06-22 14:32:07.000000
115259752,217446,2026-06-22 14:32:07.000000
115259752,253433,2026-06-22 14:32:07.000000
115259752,253463,2026-06-22 14:32:07.000000
115259752,253502,2026-06-22 14:32:07.000000
115259752,253505,2026-06-22 14:32:07.000000
115259752,253508,2026-06-22 14:32:07.000000
115259752,386072,2026-06-22 14:32:07.000000
115259752,395398,2026-06-22 14:32:07.000000
115259752,407623,2026-06-22 14:32:07.000000
115259752,435173,2026-06-22 14:32:07.000000
115259752,507940,2026-06-22 14:32:07.000000
115259752,515432,2026-06-22 14:32:07.000000
115432687,21256,2026-06-22 14:32:15.000000
115432687,21469,2026-06-22 14:32:15.000000
115432687,21671,2026-06-22 14:32:15.000000
115432687,21694,2026-06-22 14:32:15.000000
115432687,451496,2026-06-22 14:32:15.000000
115432687,522783,2026-06-22 14:32:15.000000
115841050,21277,2026-06-22 14:32:25.000000
115841050,21350,2026-06-22 14:32:25.000000
115841050,21449,2026-06-22 14:32:25.000000
115841050,21450,2026-06-22 14:32:25.000000
115841050,21454,2026-06-22 14:32:25.000000
115841050,21456,2026-06-22 14:32:25.000000
115841050,21470,2026-06-22 14:32:25.000000
115841050,21486,2026-06-22 14:32:25.000000
115841050,21492,2026-06-22 14:32:25.000000
115841050,21632,2026-06-22 14:32:25.000000
115841050,21662,2026-06-22 14:32:25.000000
115841050,21676,2026-06-22 14:32:25.000000
115841050,21682,2026-06-22 14:32:25.000000
115841050,45523,2026-06-22 14:32:25.000000
115841050,126719,2026-06-22 14:32:25.000000
115841050,126734,2026-06-22 14:32:25.000000
115841050,217446,2026-06-22 14:32:25.000000
115841050,253433,2026-06-22 14:32:25.000000
115841050,253463,2026-06-22 14:32:25.000000
115841050,253502,2026-06-22 14:32:25.000000
115841050,253505,2026-06-22 14:32:25.000000
115841050,253508,2026-06-22 14:32:25.000000
115841050,386072,2026-06-22 14:32:25.000000
115841050,395398,2026-06-22 14:32:25.000000
115841050,407623,2026-06-22 14:32:25.000000
115841050,435173,2026-06-22 14:32:25.000000
115841050,507940,2026-06-22 14:32:25.000000
115841050,515432,2026-06-22 14:32:25.000000
115888948,21277,2026-06-22 14:32:36.000000
115888948,21323,2026-06-22 14:32:36.000000
115888948,21350,2026-06-22 14:32:36.000000
115888948,21367,2026-06-22 14:32:36.000000
115888948,21406,2026-06-22 14:32:36.000000
115888948,21450,2026-06-22 14:32:36.000000
115888948,21454,2026-06-22 14:32:36.000000
115888948,21492,2026-06-22 14:32:36.000000
115888948,21526,2026-06-22 14:32:36.000000
