lat,lng,conn
51.325131,-0.119042,66
51.321098,-0.096833,59
51.324534,-0.109422,63
51.318277,-0.111897,64
51.315234,-0.087571,61
51.310451,-0.098996,54
51.332715,-0.117057,73
51.328849,-0.123391,73
51.325898,-0.102658,69
51.340577,-0.010082,69
51.344988,-0.015141,69
51.343780,-0.020808,70
51.339733,-0.003618,65
51.338483,-0.014017,68
51.333982,-0.004282,65
51.347274,-0.008058,66
51.414084,-0.116597,79
51.418892,-0.112311,78
51.411756,-0.124920,84
51.404404,-0.115795,81
51.409037,-0.117739,83
51.405684,-0.129275,80
51.408354,-0.126269,82
51.406128,-0.122611,82
51.402435,-0.123632,79
51.343385,-0.120704,76
51.344441,-0.110175,78
51.339803,-0.134058,67
51.344308,-0.103991,78
51.340588,-0.102790,70
51.338121,-0.114564,79
51.335020,-0.105480,67
51.330830,-0.107859,73
51.346342,-0.097110,75
51.334561,-0.089090,65
51.335593,-0.076982,73
51.329587,-0.072527,68
51.327424,-0.089582,66
51.324764,-0.067293,67
51.321275,-0.063503,67
51.342220,-0.091611,69
51.340794,-0.081010,67
51.386799,-0.088647,86
51.383370,-0.097874,88
51.397116,-0.088616,86
51.393410,-0.082891,84
51.393328,-0.088800,86
51.391768,-0.093241,86
51.387927,-0.101713,86
51.388861,-0.096040,86
51.385451,-0.097033,88
51.339999,-0.047014,66
51.344976,-0.057779,74
51.333781,-0.058343,61
51.355932,-0.069547,65
51.351608,-0.060195,69
51.345748,-0.073193,65
51.344260,-0.063547,77
51.345271,-0.050731,72
51.369169,-0.034419,73
51.370298,-0.026330,73
51.371877,-0.038600,75
51.367122,-0.026804,69
51.387122,-0.040774,72
51.381102,-0.042947,73
51.376442,-0.040735,76
51.378226,-0.051516,74
51.375294,-0.030172,77
51.397379,-0.078111,89
51.413338,-0.084175,84
51.412163,-0.077387,81
51.402622,-0.083498,83
51.408138,-0.080703,80
51.404847,-0.073013,81
51.403832,-0.076518,84
51.402035,-0.068634,83
51.399951,-0.081427,86
51.399069,-0.071062,87
51.405983,-0.094007,81
51.405922,-0.103643,81
51.407724,-0.096014,80
51.406221,-0.089605,80
51.403411,-0.087916,82
51.402888,-0.103790,83
